name,address,type
th08::g_ExclusiveMutex,0x17ce6fc,global
th08::g_GameWindow,0x17ce700,global
th08::g_SupervisorScreenEffect,0x17ce750,global
th08::g_Supervisor,0x17ce758,global
th08::g_SupervisorLoadingVms,0x17ceac0,global
th08::g_MusicRoom,0x17cf4c8,global
th08::g_Player,0x17d5ef8,global
th08::g_ReplayManager,0x18b8a28,global
th08::g_ScreenEffectCounter,0x18b8a2c,global
th08::g_ScreenEffect,0x18b8a30,global
th08::g_SoundPlayer,0x18b8a68,global
th08::g_AnmManager,0x18bdc90,global
th08::g_QuadVertices,0x18bdc98,global
g_BackgroundQuadVertices,0x18bdd68,global
th08::g_FullWidthNumberBuffer,0x18bddc8,global
th08::g_TitleScreen,0x18bde08,global
th08::Lzss::m_Tree,0x18bdf58,global
th08::Lzss::m_Dict,0x18d5f68,global
FLOAT_near_0_018da00c,0x18da00c,global
FLOAT_0.5_018da010,0x18da010,global
FLOAT_3.0_018da014,0x18da014,global
FLOAT_near_0_018da220,0x18da220,global
FLOAT_0.5_018da220,0x18da224,global
FLOAT_3.0_018da228,0x18da228,global
FLOAT_near_0_018da22c,0x18da22c,global
FLOAT_0.5_018da230,0x18da230,global
FLOAT_3.0_018da234,0x18da234,global
